dataset,method,seed,f1,precision,recall,specificity,ate_error,n_selected,true_ate
IHDP-A,QMI-CFS,0,0.5454545454545454,0.375,1.0,0.7727272727272727,0.013586630941456512,8,4.0
IHDP-A,MI,0,0.0,0.0,0.0,0.8636363636363636,0.5428635315331531,3,4.0
IHDP-A,CMI,0,1.0,1.0,1.0,1.0,0.00043975499743487134,3,4.0
IHDP-A,LASSO,0,0.6,0.42857142857142855,1.0,0.8181818181818182,0.02425861314038924,7,4.0
IHDP-A,Boruta,0,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.7727272727272727,0.47880998008492837,6,4.0
IHDP-A,RF,0,1.0,1.0,1.0,1.0,0.00043975499743487134,3,4.0
IHDP-A,All-Features,0,0.21428571428571425,0.12,1.0,0.0,0.020502465080789456,25,4.0
IHDP-A,HSIC-Med,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.08175992022347423,3,4.0
IHDP-A,HSIC-CV,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.08937628734336656,3,4.0
IHDP-A,HSIC-Lasso,0,1.0,1.0,1.0,1.0,0.00043975499743487134,3,4.0
IHDP-A,QMI-CFS,1,0.4615384615384615,0.3,1.0,0.6818181818181818,0.05977314633701214,10,4.0
IHDP-A,MI,1,0.0,0.0,0.0,0.8636363636363636,0.26280506064899045,3,4.0
IHDP-A,CMI,1,1.0,1.0,1.0,1.0,0.07985643241611129,3,4.0
IHDP-A,LASSO,1,0.2857142857142857,0.16666666666666666,1.0,0.3181818181818182,0.07300381000893408,18,4.0
IHDP-A,Boruta,1,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.16728583331743607,6,4.0
IHDP-A,RF,1,1.0,1.0,1.0,1.0,0.07985643241611129,3,4.0
IHDP-A,All-Features,1,0.21428571428571425,0.12,1.0,0.0,0.0740572210376862,25,4.0
IHDP-A,HSIC-Med,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.10115467629824604,3,4.0
IHDP-A,HSIC-CV,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.10115467629824604,3,4.0
IHDP-A,HSIC-Lasso,1,1.0,1.0,1.0,1.0,0.07985643241611129,3,4.0
IHDP-A,QMI-CFS,2,0.5454545454545454,0.375,1.0,0.7727272727272727,0.0016416154910476877,8,4.0
IHDP-A,MI,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.11877138031300483,3,4.0
IHDP-A,CMI,2,1.0,1.0,1.0,1.0,0.02391796299016047,3,4.0
IHDP-A,LASSO,2,0.6666666666666666,0.5,1.0,0.8636363636363636,0.0037369763984651527,6,4.0
IHDP-A,Boruta,2,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.11311739406716903,6,4.0
IHDP-A,RF,2,1.0,1.0,1.0,1.0,0.02391796299016047,3,4.0
IHDP-A,All-Features,2,0.21428571428571425,0.12,1.0,0.0,0.018709405454887307,25,4.0
IHDP-A,HSIC-Med,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.1162976870098884,3,4.0
IHDP-A,HSIC-CV,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.1162976870098884,3,4.0
IHDP-A,HSIC-Lasso,2,1.0,1.0,1.0,1.0,0.02391796299016047,3,4.0
IHDP-A,QMI-CFS,3,0.5,0.3333333333333333,1.0,0.7272727272727273,0.11116424197459374,9,4.0
IHDP-A,MI,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.3370346722954043,3,4.0
IHDP-A,CMI,3,1.0,1.0,1.0,1.0,0.14102703493202995,3,4.0
IHDP-A,LASSO,3,0.2222222222222222,0.125,1.0,0.045454545454545456,0.11420526849220014,24,4.0
IHDP-A,Boruta,3,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.7727272727272727,0.32967238718456304,6,4.0
IHDP-A,RF,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.08024747064806004,3,4.0
IHDP-A,All-Features,3,0.21428571428571425,0.12,1.0,0.0,0.11457571204708916,25,4.0
IHDP-A,HSIC-Med,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.07877890572743862,3,4.0
IHDP-A,HSIC-CV,3,1.0,1.0,1.0,1.0,0.14102703493202995,3,4.0
IHDP-A,HSIC-Lasso,3,1.0,1.0,1.0,1.0,0.14102703493202995,3,4.0
IHDP-A,QMI-CFS,4,0.5,0.3333333333333333,1.0,0.7272727272727273,0.1605492608180521,9,4.0
IHDP-A,MI,4,1.0,1.0,1.0,1.0,0.17229113854710842,3,4.0
IHDP-A,CMI,4,1.0,1.0,1.0,1.0,0.17229113854710842,3,4.0
IHDP-A,LASSO,4,0.6666666666666666,0.5,1.0,0.8636363636363636,0.16052632262952127,6,4.0
IHDP-A,Boruta,4,0.6666666666666666,0.5,1.0,0.8636363636363636,0.18172275645066094,6,4.0
IHDP-A,RF,4,1.0,1.0,1.0,1.0,0.17229113854710842,3,4.0
IHDP-A,All-Features,4,0.21428571428571425,0.12,1.0,0.0,0.16883331822000525,25,4.0
IHDP-A,HSIC-Med,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.45215354059149426,3,4.0
IHDP-A,HSIC-CV,4,1.0,1.0,1.0,1.0,0.17229113854710842,3,4.0
IHDP-A,HSIC-Lasso,4,1.0,1.0,1.0,1.0,0.17229113854710842,3,4.0
IHDP-A,QMI-CFS,5,0.4615384615384615,0.3,1.0,0.6818181818181818,0.08233064182878103,10,4.0
IHDP-A,MI,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.13196881584410924,3,4.0
IHDP-A,CMI,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.1000191148405345,3,4.0
IHDP-A,LASSO,5,0.4615384615384615,0.3,1.0,0.6818181818181818,0.0784689302073649,10,4.0
IHDP-A,Boruta,5,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.7727272727272727,0.12837897244019825,6,4.0
IHDP-A,RF,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.12862325565903676,3,4.0
IHDP-A,All-Features,5,0.21428571428571425,0.12,1.0,0.0,0.0841520035219645,25,4.0
IHDP-A,HSIC-Med,5,1.0,1.0,1.0,1.0,0.06618122266028736,3,4.0
IHDP-A,HSIC-CV,5,1.0,1.0,1.0,1.0,0.06618122266028736,3,4.0
IHDP-A,HSIC-Lasso,5,1.0,1.0,1.0,1.0,0.06618122266028736,3,4.0
IHDP-A,QMI-CFS,6,0.5454545454545454,0.375,1.0,0.7727272727272727,0.09768304338237721,8,4.0
IHDP-A,MI,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.12387636725052165,3,4.0
IHDP-A,CMI,6,1.0,1.0,1.0,1.0,0.08718872188727422,3,4.0
IHDP-A,LASSO,6,0.8571428571428571,0.75,1.0,0.9545454545454546,0.1044883425587324,4,4.0
IHDP-A,Boruta,6,0.6666666666666666,0.5,1.0,0.8636363636363636,0.08387981850990922,6,4.0
IHDP-A,RF,6,1.0,1.0,1.0,1.0,0.08718872188727422,3,4.0
IHDP-A,All-Features,6,0.21428571428571425,0.12,1.0,0.0,0.11340597537403907,25,4.0
IHDP-A,HSIC-Med,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.12598489801665513,3,4.0
IHDP-A,HSIC-CV,6,1.0,1.0,1.0,1.0,0.08718872188727422,3,4.0
IHDP-A,HSIC-Lasso,6,1.0,1.0,1.0,1.0,0.08718872188727422,3,4.0
IHDP-A,QMI-CFS,7,0.5454545454545454,0.375,1.0,0.7727272727272727,0.05404212734056646,8,4.0
IHDP-A,MI,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.4501216811529938,3,4.0
IHDP-A,CMI,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.006503073431964879,3,4.0
IHDP-A,LASSO,7,0.3157894736842105,0.1875,1.0,0.4090909090909091,0.08023081210514338,16,4.0
IHDP-A,Boruta,7,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.3105971095888802,6,4.0
IHDP-A,RF,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.006503073431964879,3,4.0
IHDP-A,All-Features,7,0.21428571428571425,0.12,1.0,0.0,0.08791852944722223,25,4.0
IHDP-A,HSIC-Med,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.2415503053128818,3,4.0
IHDP-A,HSIC-CV,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.2415503053128818,3,4.0
IHDP-A,HSIC-Lasso,7,1.0,1.0,1.0,1.0,0.023160646992796075,3,4.0
IHDP-A,QMI-CFS,8,0.42857142857142855,0.2727272727272727,1.0,0.6363636363636364,0.07813751700003024,11,4.0
IHDP-A,MI,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.5663897541970879,3,4.0
IHDP-A,CMI,8,1.0,1.0,1.0,1.0,0.09264303192118728,3,4.0
IHDP-A,LASSO,8,0.4,0.25,1.0,0.5909090909090909,0.07801269056247673,12,4.0
IHDP-A,Boruta,8,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.037217625562406376,6,4.0
IHDP-A,RF,8,1.0,1.0,1.0,1.0,0.09264303192118728,3,4.0
IHDP-A,All-Features,8,0.21428571428571425,0.12,1.0,0.0,0.0898910327956326,25,4.0
IHDP-A,HSIC-Med,8,1.0,1.0,1.0,1.0,0.09264303192118728,3,4.0
IHDP-A,HSIC-CV,8,1.0,1.0,1.0,1.0,0.09264303192118728,3,4.0
IHDP-A,HSIC-Lasso,8,1.0,1.0,1.0,1.0,0.09264303192118728,3,4.0
IHDP-A,QMI-CFS,9,0.6666666666666666,0.5,1.0,0.8636363636363636,0.10337108132517958,6,4.0
IHDP-A,MI,9,0.0,0.0,0.0,0.8636363636363636,0.3025484030904395,3,4.0
IHDP-A,CMI,9,1.0,1.0,1.0,1.0,0.12380345097793999,3,4.0
IHDP-A,LASSO,9,0.6666666666666666,0.5,1.0,0.8636363636363636,0.10596301316525825,6,4.0
IHDP-A,Boruta,9,0.0,0.0,0.0,0.7272727272727273,0.3102740063914693,6,4.0
IHDP-A,RF,9,1.0,1.0,1.0,1.0,0.12380345097793999,3,4.0
IHDP-A,All-Features,9,0.21428571428571425,0.12,1.0,0.0,0.11367606091555604,25,4.0
IHDP-A,HSIC-Med,9,1.0,1.0,1.0,1.0,0.12380345097793999,3,4.0
IHDP-A,HSIC-CV,9,1.0,1.0,1.0,1.0,0.12380345097793999,3,4.0
IHDP-A,HSIC-Lasso,9,1.0,1.0,1.0,1.0,0.12380345097793999,3,4.0
IHDP-A,QMI-CFS,10,0.5454545454545454,0.375,1.0,0.7727272727272727,0.028802351059942666,8,4.0
IHDP-A,MI,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.4911253872904533,3,4.0
IHDP-A,CMI,10,1.0,1.0,1.0,1.0,0.0566214027353924,3,4.0
IHDP-A,LASSO,10,0.35294117647058826,0.21428571428571427,1.0,0.5,0.027890203299061334,14,4.0
IHDP-A,Boruta,10,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.7727272727272727,0.4968129360031708,6,4.0
IHDP-A,RF,10,1.0,1.0,1.0,1.0,0.0566214027353924,3,4.0
IHDP-A,All-Features,10,0.21428571428571425,0.12,1.0,0.0,0.02309489395865505,25,4.0
IHDP-A,HSIC-Med,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.28835644262594595,3,4.0
IHDP-A,HSIC-CV,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.28835644262594595,3,4.0
IHDP-A,HSIC-Lasso,10,1.0,1.0,1.0,1.0,0.0566214027353924,3,4.0
IHDP-A,QMI-CFS,11,0.5,0.3333333333333333,1.0,0.7272727272727273,0.0013068953159960373,9,4.0
IHDP-A,MI,11,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.19525198246923292,3,4.0
IHDP-A,CMI,11,1.0,1.0,1.0,1.0,0.004108328776159631,3,4.0
IHDP-A,LASSO,11,0.5,0.3333333333333333,1.0,0.7272727272727273,0.0012910811827953061,9,4.0
IHDP-A,Boruta,11,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.20572373886551176,6,4.0
IHDP-A,RF,11,1.0,1.0,1.0,1.0,0.004108328776159631,3,4.0
IHDP-A,All-Features,11,0.21428571428571425,0.12,1.0,0.0,0.009711156766480489,25,4.0
IHDP-A,HSIC-Med,11,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.19556554603605747,3,4.0
IHDP-A,HSIC-CV,11,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.20898479940258774,3,4.0
IHDP-A,HSIC-Lasso,11,1.0,1.0,1.0,1.0,0.004108328776159631,3,4.0
IHDP-A,QMI-CFS,12,0.4615384615384615,0.3,1.0,0.6818181818181818,0.012627991179323672,10,4.0
IHDP-A,MI,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.11837187620680023,3,4.0
IHDP-A,CMI,12,1.0,1.0,1.0,1.0,0.006663709392911166,3,4.0
IHDP-A,LASSO,12,0.5454545454545454,0.375,1.0,0.7727272727272727,0.004425245011400403,8,4.0
IHDP-A,Boruta,12,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.17963366190511643,6,4.0
IHDP-A,RF,12,1.0,1.0,1.0,1.0,0.006663709392911166,3,4.0
IHDP-A,All-Features,12,0.21428571428571425,0.12,1.0,0.0,0.0159128823678385,25,4.0
IHDP-A,HSIC-Med,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.1890723135123995,3,4.0
IHDP-A,HSIC-CV,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.22918438452410062,3,4.0
IHDP-A,HSIC-Lasso,12,1.0,1.0,1.0,1.0,0.006663709392911166,3,4.0
IHDP-A,QMI-CFS,13,0.4615384615384615,0.3,1.0,0.6818181818181818,0.08440327116688229,10,4.0
IHDP-A,MI,13,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.5762791319133731,3,4.0
IHDP-A,CMI,13,1.0,1.0,1.0,1.0,0.09632009598458291,3,4.0
IHDP-A,LASSO,13,0.5454545454545454,0.375,1.0,0.7727272727272727,0.09605988650144104,8,4.0
IHDP-A,Boruta,13,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.38733712307614976,6,4.0
IHDP-A,RF,13,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.19486541702843585,3,4.0
IHDP-A,All-Features,13,0.21428571428571425,0.12,1.0,0.0,0.09468764921862505,25,4.0
IHDP-A,HSIC-Med,13,1.0,1.0,1.0,1.0,0.09632009598458291,3,4.0
IHDP-A,HSIC-CV,13,1.0,1.0,1.0,1.0,0.09632009598458291,3,4.0
IHDP-A,HSIC-Lasso,13,1.0,1.0,1.0,1.0,0.09632009598458291,3,4.0
IHDP-A,QMI-CFS,14,0.5,0.3333333333333333,1.0,0.7272727272727273,0.03896423372740898,9,4.0
IHDP-A,MI,14,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.05754643133783732,3,4.0
IHDP-A,CMI,14,1.0,1.0,1.0,1.0,0.060590678051500646,3,4.0
IHDP-A,LASSO,14,0.6666666666666666,0.5,1.0,0.8636363636363636,0.05025168814476455,6,4.0
IHDP-A,Boruta,14,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.06280051713815027,6,4.0
IHDP-A,RF,14,1.0,1.0,1.0,1.0,0.060590678051500646,3,4.0
IHDP-A,All-Features,14,0.21428571428571425,0.12,1.0,0.0,0.05077633484725652,25,4.0
IHDP-A,HSIC-Med,14,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.06465439762211123,3,4.0
IHDP-A,HSIC-CV,14,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.07850887013829588,3,4.0
IHDP-A,HSIC-Lasso,14,1.0,1.0,1.0,1.0,0.060590678051500646,3,4.0
IHDP-A,QMI-CFS,15,0.5454545454545454,0.375,1.0,0.7727272727272727,0.18463937070629743,8,4.0
